ID,1000
MEFWR10---,EFP WRITING 10,N,N,2
MFMP-10---,FOUNDATIONS OF MATH AND PRE-CALCULUS 10,N,N,4
MFOOD10---,ADST ?  FOOD STUDIES 10,N,N,4
MMAP-11---,MARKETING AND PROMOTION 11,N,N,4
MPHED10B--,PHYSICAL AND HEALTH EDUCATION 10 Boys,N,N,4
MSC--10---,SCIENCE 10,N,N,4
MSS--10---,SOCIAL STUDIES 10,N,N,4
MTDRF10---,ADST ?  DRAFTING 10,N,N,4
ID,1001
MADEM10---,ADST ? ENTREPRENEURSHIP AND MARKETING 10,N,N,4
MADER09---,ADST - Electronics and Robotics,N,N,0
MADIT09---,ADST-Information and Communications Technologies 9,N,Y,0
MEN--09---,ENGLISH LANGUAGE ARTS 9,N,N,0
MMA--09---,MATHEMATICS 9,N,N,0
MPHE-09B--,PHYSICAL AND HEALTH EDUCATION 9 Boys,N,N,0
MSC--09---,SCIENCE 9,N,N,0
MSP--09---,SPANISH 9,N,Y,0
MSS--09---,SOCIAL STUDIES 9,N,N,0
XLDCB09M--,TECH ED 9: MECHANICS LD,N,N,0
ID,1002
ACAL-12---,AP CALCULUS AB 12 external credential,N,N,4
ACSC-2A---,AP COMPUTER SCIENCE A 12,N,N,4
ASTA-12---,AP STATISTICS 12,N,N,4
MCH--11---,CHEMISTRY 11,N,N,4
MENST12C--,ENGLISH STUDIES 12 CHALLENGE,N,N,4
MMACS12---,COMPUTER SCIENCE 12,N,N,4
MPREC12H--,PRE-CALCULUS 12 HONOURS,N,N,4
ID,1003
MSC--10---,SCIENCE 10,N,N,4
MSS--10---,SOCIAL STUDIES 10,N,N,4
ID,1004
MATPH12---,ANATOMY AND PHYSIOLOGY 12,N,N,4
MCMCL12---,COMPARATIVE CULTURES 12,N,N,4
MDRM-12---,DRAMA 12,N,N,4
MENST12---,ENGLISH STUDIES 12,N,N,4
MIMCB12--L,INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR,N,N,4
MTDRF11---,DRAFTING 11,N,N,4
MTDRF12---,DRAFTING 12,N,Y,4
MVAST12---,ART STUDIO 12,N,N,4
YMIS-1DD--,DESIGN AND INNOVATION 11,N,Y,4
ID,1005
MAC--11---,ACCOUNTING 11,N,N,4
MCMPS10C--,COMPOSITION 10 Challenge,N,N,2
MFMP-10C--,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE,N,N,4
MFOOD10---,ADST ?  FOOD STUDIES 10,N,N,4
MMEDD10---,ADST ? MEDIA DESIGN 10,N,Y,4
MPHED10G--,PHYSICAL AND HEALTH EDUCATION 10 Girls,N,N,4
MSC--10C--,SCIENCE 10: CHALLENGE,N,N,4
MSS--10C--,SOCIAL STUDIES 10 CHALLENGE,N,N,4
MTDRF10---,ADST ?  DRAFTING 10,N,N,4
MVAST10---,VISUAL ARTS: ART STUDIO 10,N,Y,4
ID,1006
ASTA-12---,AP STATISTICS 12,N,N,4
MACC-12---,ACCOUNTING 12,N,Y,4
MCH--11---,CHEMISTRY 11,N,N,4
MCLE-10---,CAREER LIFE EDUCATION 10,N,N,4
MCMPR11W--,WEB DEVELOPMENT,N,Y,4
MINST12C--,CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE,N,N,4
MLTST11C--,LITERARY STUDIES 11 Challenge,N,N,4
MMACS12---,COMPUTER SCIENCE 12,N,N,4
MPH--11---,PHYSICS 11,N,N,4
MPREC11H--,PRE-CALCULUS 11 HONOURS,N,N,4
ID,1007
MADD-09---,ADST - Drafting 9,N,N,0
MADEM10---,ADST ? ENTREPRENEURSHIP AND MARKETING 10,N,N,4
MADIT09---,ADST-Information and Communications Technologies 9,N,Y,0
MEN--09---,ENGLISH LANGUAGE ARTS 9,N,N,0
MFR--09---,FRENCH 9,N,N,0
MMA--09H--,MATHEMATICS 9 HONOURS,N,N,0
MPHE-09G--,PHYSICAL AND HEALTH EDUCATION 9 Girls,N,N,0
MSC--09---,SCIENCE 9,N,N,0
MSS--09---,SOCIAL STUDIES 9,N,N,0
XLEAD09---,LEADERSHIP 9 LD,N,Y,0
ID,1008
MADEM10---,ADST ? ENTREPRENEURSHIP AND MARKETING 10,N,Y,4
MADIT09---,ADST-Information and Communications Technologies 9,N,Y,0
MAE--09---,ARTS EDUCATION 9,N,N,0
MEN--09---,ENGLISH LANGUAGE ARTS 9,N,N,0
MFR--12---,FRENCH 12,N,N,4
MMA--09---,MATHEMATICS 9,N,N,0
MPHE-09--L,PHYSICAL AND HEALTH EDUCATION 9 Linear,N,N,0
